code,name,chg_today,chg_60d,chg_ytd,up,down,leader,leader_code,turnover
BK1564,体育Ⅲ,-0.34,-35.51,-21.17,0,3,力盛体育,002858,1.78
BK1273,体育Ⅱ,-0.34,-35.51,-21.17,0,3,力盛体育,002858,1.78
BK1320,逆变器,3.1,-34.38,-13.21,9,1,德业股份,605117,4.03
BK1305,燃料电池,-1.17,-32.57,-34.27,0,1,亿华通-U,688339,0.9
BK1317,光伏加工设备,-0.05,-30.3,-3.23,5,6,拉普拉斯,688726,1.85
BK1341,房产租赁经纪,-1.03,-29.7,-17.45,0,3,世联行,002285,2.57
BK1621,锂,-2.33,-28.72,-0.83,0,8,赣锋锂业,002460,4.27
BK1323,综合电力设备商,-1.1,-27.87,-4.04,0,2,上海电气,601727,0.53
BK1313,风电零部件,-1.45,-27.62,-13.38,2,23,禾望电气,603063,2.04
BK1385,航天装备Ⅲ,-4.76,-27.24,-23.66,0,9,理工导航,688282,2.58
BK1232,航天装备Ⅱ,-4.76,-27.24,-23.66,0,9,理工导航,688282,2.58
BK1497,化妆品制造及其他,-1.61,-26.89,-22.28,4,4,锦盛新材,300849,2.21
BK1315,光伏电池组件,-0.39,-26.77,-11.05,4,17,琏升科技,300051,1.82
BK1032,风电设备,-1.59,-26.53,-15.49,3,27,禾望电气,603063,2.55
BK1304,锂电专用设备,-0.72,-26.3,-20.09,3,14,德新科技,603032,1.84
BK1031,光伏设备,0.37,-26.0,-11.91,27,40,琏升科技,300051,2.01
BK1015,能源金属,-3.19,-25.94,-0.99,0,11,赣锋锂业,002460,4.81
BK1592,通信线缆及配套,-0.93,-25.92,41.44,3,10,汇源通信,000586,6.24
BK1533,塑料包装,-0.88,-24.84,-12.48,4,5,珠海中富,000659,1.52
BK1622,镍,-5.32,-24.55,-35.54,0,1,华友钴业,603799,5.95
BK1517,食用菌,-1.86,-23.85,-5.82,0,4,博闻科技,600883,2.48
BK1388,大气治理,-1.11,-23.82,-7.76,0,7,德创环保,603177,1.99
BK1534,印刷,-0.71,-23.39,-32.14,1,3,强邦新材,001279,1.43
BK1556,教育运营及其他,-1.27,-23.22,-58.52,0,2,博瑞传播,600880,1.4
BK1589,通信应用增值服务,-0.25,-23.18,0.88,8,9,数据港,603881,3.59
BK1302,电池化学品,-1.05,-22.52,-6.76,7,37,尚太科技,001301,2.48
BK1316,光伏辅材,-0.37,-22.5,-11.07,5,13,赛伍技术,603212,1.52
BK1588,通信工程及服务,-0.46,-22.23,-13.57,6,13,ST信通,600289,3.2
BK1543,娱乐用品,-1.25,-21.98,-11.59,4,12,珠江钢琴,002678,2.57
BK1416,粘胶,-0.03,-21.76,-26.97,1,2,ST海龙,000677,2.32
BK0736,通信服务,-0.33,-21.34,-11.36,15,24,数据港,603881,0.71
BK1314,风电整机,-2.35,-21.11,-25.32,1,4,电气风电,688660,3.34
BK1516,其他种植业,-2.03,-20.96,-0.7,0,5,宏辉果蔬,603336,2.2
BK1200,电力设备,-0.58,-20.88,-2.85,102,302,长城科技,603897,2.61
BK1033,电池,-0.72,-20.87,-6.61,20,84,科达利,002850,2.68
BK1441,其他橡胶制品,-0.86,-20.65,-22.83,3,12,元创股份,001325,1.95
BK1375,光伏发电,0.22,-20.6,8.52,4,8,兆新股份,002256,2.78
BK1309,电网自动化设备,-1.16,-20.13,4.89,5,25,新风光,688663,1.55
BK1415,其他化学纤维,-0.88,-19.97,1.22,3,5,皖维高新,600063,2.34
BK1322,其他电源设备Ⅲ,0.57,-19.76,2.73,14,14,盛弘股份,300693,3.6
BK1310,配电设备,-1.55,-19.74,-0.85,2,26,维通利,001393,2.33
