code,name,price,chg_pct,turnover,pe,pb,mktcap_yi,nmc_yi,amount_yi
603799,华友钴业,45.73,3.908,7.3595,13.692,1.714,865.9101335240999,863.2027711881001,63.50357417
601168,西部矿业,42.2,-2.02,3.34161,27.582,4.485,1005.626,1005.626,33.6170415
002714,牧原股份,40.24,4.601,2.48538,13.972,2.693,2323.0536483456,1320.072926368,32.52791532
600362,江西铜业,48.84,-1.493,3.2315,23.594,2.011,1691.1970414019997,1013.550832602,32.49764
600309,万华化学,77.99,2.998,1.32066,19.546,2.192,2441.4548211174,2441.4548211174,32.21770257
002202,金风科技,21.82,0.092,4.35043,34.26,2.318,921.6306827754,733.9168086742,31.0226474
000063,中兴通讯,34.25,-1.297,2.24786,29.274,2.136,1638.3606987975,1379.46027196,30.93250528
600988,赤峰黄金,44.13,4.847,4.34836,26.112,5.869,838.6514528514,734.2840911114,30.78965367
000858,五 粮 液,76.13,1.358,1.01541,33.002,2.309,2955.0681742065003,2954.9961445682998,30.01418348
000338,潍柴动力,32.01,6.169,1.92145,25.205,2.9,2765.7346207821,1586.5412530143,29.77841556
600547,山东黄金,31.41,3.051,2.40586,33.415,4.524,1447.9788638025,1135.2966552927,27.08002232
600711,盛屯矿业,12.78,7.939,6.80888,20.056,2.21,394.9801562178,394.9801562178,26.05507729
002432,九安医疗,72.14,-0.661,7.50087,13.796,1.555,336.0958457534,335.647451648,25.68931526
600489,中金黄金,26.63,2.031,1.99852,26.108,3.936,1290.8393357932,1290.8393357932,25.52131152
600150,中国船舶,34.69,-0.459,1.06518,27.976,1.746,2610.6380248072,2106.187007541,22.58063381
000807,云铝股份,27.81,2.506,2.34649,15.891,2.705,964.4389543305,964.4288581881,22.56992891
605499,东鹏饮料,129.84,5.733,2.50199,15.292,4.895,953.2843841040001,877.74034296,21.89452164
600267,海正药业,14.17,8.085,12.75454,30.804,1.869,167.24455600320002,167.24455600320002,21.37639134
002155,湖南黄金,27.17,5.392,5.07094,28.6,4.873,424.5723625572,424.5342134319,21.00032446
600089,特变电工,21.48,0.703,1.85237,18.501,1.508,1085.3398442508,1085.3398442508,20.19724114
601600,中国铝业,10.01,1.624,1.49674,13.527,2.129,1717.2126298326998,1321.6543244905001,19.75971789
601991,大唐发电,6.33,-0.939,2.53715,20.063,3.181,1171.4747749032001,784.6724404098001,19.74509478
000100,TCL科技,4.86,0.0,1.97299,20.832,1.613,1010.9219149242001,977.5880394696,19.12539155
600141,兴发集团,33.07,5.084,4.70058,24.496,1.589,397.4153707099,397.4153707099,18.82763085
000792,盐湖股份,29.49,2.396,1.19789,18.412,3.491,1560.4847423409,1560.4708319079,18.75100754
601958,金钼股份,24.66,3.788,2.09007,25.163,4.017,795.6806450400001,795.6806450400001,16.45934917
002558,巨人网络,29.39,0.17,2.86245,31.266,3.424,558.5751632769,558.5722242769,15.87328195
000975,山金国际,27.12,2.922,2.35202,25.334,4.63,751.9094406432,684.3019603704,15.82278677
002245,蔚蓝锂芯,17.15,-2.833,5.53325,27.823,3.738,292.86019037100004,275.53185849700003,15.37765215
