code,name,price,chg_pct,turnover,pe,pb,mktcap_yi,nmc_yi,amount_yi,chg60,drawdown,ma20,chg20,chg5,n
601168,西部矿业,42.2,-2.02,3.34161,27.582,4.485,1005.626,1005.626,33.6170415,50.69979006298111,0.0,36.252500000000005,41.491458607095936,12.044745057232053,70
002714,牧原股份,40.24,4.601,2.48538,13.972,2.693,2323.0536483456,1320.072926368,32.52791532,-11.154734411085443,-13.937360178970925,39.184999999999995,0.8652333508127885,-2.012226184411614,70
600362,江西铜业,48.84,-1.493,3.2315,23.594,2.011,1691.1970414019997,1013.550832602,32.49764,11.969286359530251,-9.624498724024788,43.0385,15.598041501515493,14.55637707948243,70
600309,万华化学,77.99,2.998,1.32066,19.546,2.192,2441.4548211174,2441.4548211174,32.21770257,-15.377738042020573,-16.192584394023235,73.00050000000002,10.202299519720581,1.6239430948865818,70
002202,金风科技,21.82,0.092,4.35043,34.26,2.318,921.6306827754,733.9168086742,31.0226474,-14.543316346530776,-23.481923481923474,18.703500000000002,-2.5044722719141266,18.54268624252311,70
000063,中兴通讯,34.25,-1.297,2.24786,29.274,2.136,1638.3606987975,1379.46027196,30.93250528,-3.6378783671202286,-14.384406612385881,35.77150000000001,-14.384406612385881,2.632357290742382,70
600988,赤峰黄金,44.13,4.847,4.34836,26.112,5.869,838.6514528514,734.2840911114,30.78965367,12.630452234412637,-5.202702702702688,36.9585,28.166869671132755,6.395348837209314,70
000338,潍柴动力,32.01,6.169,1.92145,25.205,2.9,2765.7346207821,1586.5412530143,29.77841556,0.2327127659574435,-14.68590831918507,27.348499999999994,9.35799782372142,7.871198568872995,70
600547,山东黄金,31.41,3.051,2.40586,33.415,4.524,1447.9788638025,1135.2966552927,27.08002232,-12.388617418798498,-16.4931506849315,26.694,22.115384615384603,8.085106382978724,70
600711,盛屯矿业,12.78,7.939,6.80888,20.056,2.21,394.9801562178,394.9801562178,26.05507729,-11.641791044776117,-19.236016371077767,10.502500000000001,10.242085661080068,11.2781954887218,70
002432,九安医疗,72.14,-0.661,7.50087,13.796,1.555,336.0958457534,335.647451648,25.68931526,-3.0570017354158208,-20.70321030792749,69.59850000000002,23.50340136054423,6.076541045866213,70
600489,中金黄金,26.63,2.031,1.99852,26.108,3.936,1290.8393357932,1290.8393357932,25.52131152,3.284527107241786,-7.512402551381991,21.7665,28.31858407079646,13.428943937418513,70
600150,中国船舶,34.69,-0.459,1.06518,27.976,1.746,2610.6380248072,2106.187007541,22.58063381,-15.65827686350435,-16.566914053148196,33.9765,-5.912526997840162,-0.9380329732802672,70
000807,云铝股份,27.81,2.506,2.34649,15.891,2.705,964.4389543305,964.4288581881,22.56992891,-16.49738381040321,-18.08574879227053,25.824,17.19222462203025,1.915852742299018,70
600267,海正药业,14.17,8.085,12.75454,30.804,1.869,167.24455600320002,167.24455600320002,21.37639134,13.802083333333325,0.0,11.9035,21.72701949860725,13.212435233160624,70
002155,湖南黄金,27.17,5.392,5.07094,28.6,4.873,424.5723625572,424.5342134319,21.00032446,-7.862759113652606,-15.503113733202234,22.8145,8.501683501683498,11.843817787418654,70
601600,中国铝业,10.01,1.624,1.49674,13.527,2.129,1717.2126298326998,1321.6543244905001,19.75971789,-15.523156089193824,-18.86326194398683,9.286,17.964071856287433,2.925809822361547,70
000100,TCL科技,4.86,0.0,1.97299,20.832,1.613,1010.9219149242001,977.5880394696,19.12539155,14.084507042253524,-20.58823529411764,4.951,-5.078125,2.74841437632134,70
601958,金钼股份,24.66,3.788,2.09007,25.163,4.017,795.6806450400001,795.6806450400001,16.45934917,27.810650887573974,-22.021660649819484,21.502,6.071428571428594,13.196760362077198,70
002558,巨人网络,29.39,0.17,2.86245,31.266,3.424,558.5751632769,558.5722242769,15.87328195,-8.655043586550427,-12.444046553267674,28.125500000000006,-0.7442489851150147,0.2049180327868827,70
000975,山金国际,27.12,2.922,2.35202,25.334,4.63,751.9094406432,684.3019603704,15.82278677,-1.8256333830104277,-9.85289086554909,21.9005,31.552670993509736,12.70316509837468,70
601888,中国中免,56.13,0.555,1.34093,32.381,2.012,1166.2672562772,1095.9245228472,14.7385558,-13.537794299876083,-15.360121304018204,55.1265,5.860041721979914,-3.7752111704878466,70
002241,歌尔股份,22.84,-1.932,1.97728,20.035,2.171,811.3387370552,718.4802441684,14.26151765,-4.51004510045101,-17.992957746478876,22.918000000000003,3.1900753212228627,0.8225108225108135,70
000933,神火股份,27.25,1.565,2.31253,15.055,2.214,612.8536987274999,612.4626775775,14.17713657,-16.75457648153894,-18.819969742813914,25.342499999999998,14.218816517667099,2.9152282316839306,70
000739,普洛药业,23.06,-1.495,4.91567,29.859,4.072,267.13708862560003,267.03012412379996,13.6396412,24.45507708665604,0.0,20.4655,30.055555555555546,15.776458951533145,70
600160,巨化股份,44.0,1.64,1.06374,31.429,5.496,1187.88827564,1187.88827564,12.5527523,19.519602429596915,-22.488809310653536,40.603,-0.29940119760479833,9.53947368421051,70
002648,卫星化学,26.36,2.25,1.39014,16.684,2.505,887.975003884,887.404783046,12.36615456,-11.10344827586206,-12.905405405405402,24.434499999999996,13.668430335097014,1.5360378101614724,70
000963,华东医药,29.6,2.104,2.32071,15.192,2.017,519.106107008,518.891877008,12.15208341,-14.103703703703708,-14.103703703703708,29.599500000000006,-1.3274336283185861,-0.41222947440742175,70
002532,天山铝业,13.92,2.731,2.05917,13.257,2.057,644.320248168,571.6745573184,11.72222879,-19.297200714711128,-21.90201729106629,12.739,21.30707251566697,2.6515151515151603,70
600352,浙江龙盛,13.83,5.011,2.57652,24.6,1.358,449.935796238,449.935796238,11.53974125,-0.07587253414264028,-2.8044280442804492,12.880500000000001,10.486577181208045,-0.8283132530120474,70
600196,复星医药,24.14,1.642,2.12841,19.008,1.312,644.6416390549999,511.403202355,10.91625884,-6.126482213438733,-6.4592359196534055,23.470000000000002,1.279317697228155,2.238484718037026,70
600096,云天化,30.14,0.133,1.88218,10.657,2.109,549.4494063233999,549.4494063233999,10.4709031,-15.568022440392703,-17.938931297709914,29.052,10.377704437110392,0.7700033478406532,70
600219,南山铝业,4.99,3.099,1.73014,12.171,1.125,573.0367077941,573.0367077941,9.79358125,-8.50661625708885,-14.7887323943662,4.4479999999999995,18.627450980392158,2.5423728813559254,70
002517,恺英网络,18.19,1.45,2.86593,20.438,3.753,388.6190242646,343.6248658187,9.70747842,3.641618497109822,-5.082053996823721,16.688,5.969267139479895,4.304828388598003,70
000425,徐工机械,8.34,0.482,1.28162,14.632,1.559,976.7149514466,750.6463168572001,9.64036165,-17.33067729083664,-24.3391066545123,8.644,-1.5421115065243018,-7.366071428571431,70
000060,中金岭南,6.94,1.909,3.05488,33.048,1.543,308.2173685852,308.2134648352,9.3677749,6.572769953051649,-22.701475595913745,6.311000000000001,4.930662557781185,7.923930269413626,70
000596,古井贡酒,96.48,5.224,2.35973,14.379,1.952,509.99327999999997,394.21727999999996,9.21550241,-13.986866791744834,-15.996335318369226,90.1555,14.914149642812369,-3.433385992627702,70
600737,中粮糖业,13.97,3.252,3.03485,31.414,2.569,298.7970974516,298.7970974516,9.13484807,-7.896528250510548,-17.800729040097217,12.272000000000002,10.179153094462535,7.8087649402390324,70
