date,TENCENT,MEITUAN,PDD
2021-05-03,553.1139,282.8000,133.7900
2021-05-10,537.4423,244.0000,118.3300
2021-05-17,542.5125,275.2000,129.2900
2021-05-24,554.4966,265.2000,124.8800
2021-05-31,563.7152,302.2000,132.1700
2021-06-07,549.4265,307.2000,121.9700
2021-06-14,555.8795,300.6000,125.0300
2021-06-21,551.7311,330.0000,127.6000
2021-06-28,529.6065,304.0000,119.2000
2021-07-05,496.4197,279.2000,111.0700
2021-07-12,519.9271,290.8000,107.4500
2021-07-19,489.5058,273.2000,97.3100
2021-07-26,441.5692,215.0000,91.6100
2021-08-02,418.1541,213.8000,87.4600
2021-08-09,433.4569,233.4000,84.3800
2021-08-16,392.1577,193.4000,77.2900
2021-08-23,429.9539,225.0000,94.6300
2021-08-30,449.8659,244.8000,102.2300
2021-09-06,451.7097,259.4000,103.7500
2021-09-13,425.7133,240.8000,100.7300
2021-09-20,424.2383,244.6000,94.5500
2021-09-27,425.3446,246.6000,88.1500
2021-10-04,444.1505,256.0000,96.2200
2021-10-11,456.8721,280.8000,94.0100
2021-10-18,469.6859,289.2000,99.0500
2021-10-25,443.4130,269.6000,88.9200
2021-11-01,430.8757,276.8000,83.6700
2021-11-08,447.2848,289.8000,95.0000
2021-11-15,457.2408,280.8000,81.8700
2021-11-22,427.1883,263.6000,68.4600
2021-11-29,426.4508,241.2000,54.4400
2021-12-06,427.1883,243.0000,63.6200
2021-12-13,403.7731,225.8000,58.0600
2021-12-20,424.2383,226.0000,57.7100
2021-12-27,421.1040,225.4000,58.3000
2022-01-03,408.3824,204.0000,55.9000
2022-01-10,436.4068,220.6000,60.4100
2022-01-17,450.9549,238.0000,62.4100
2022-01-24,436.8981,208.0000,53.0500
2022-01-31,454.9439,226.8000,55.8500
2022-02-07,453.0444,227.8000,60.0000
2022-02-14,446.3959,188.0000,56.0300
2022-02-21,402.7061,170.2000,51.6500
2022-02-28,382.9507,164.8000,41.2700
2022-03-07,349.3286,135.4000,32.1300
2022-03-14,361.8656,153.3000,42.6000
2022-03-21,338.5011,135.0000,44.2400
2022-03-28,359.7761,155.5000,42.6500
2022-04-04,351.0381,156.5000,42.6000
2022-04-11,355.5971,155.2000,40.0300
2022-04-18,323.4946,141.4000,34.7300
2022-04-25,358.4464,172.0000,43.0900
2022-05-02,331.6627,157.0000,38.1900
2022-05-09,336.6015,167.6000,37.7200
2022-05-16,334.5120,173.0000,40.9000
2022-05-23,324.6343,163.9000,48.3000
2022-05-30,340.9705,180.2000,50.9000
2022-06-06,376.4922,201.2000,59.9500
2022-06-13,350.8482,199.1000,59.0000
2022-06-20,364.9049,198.1000,65.9600
2022-06-27,336.6015,194.2000,64.8200
2022-07-04,334.8919,192.3000,60.8000
2022-07-11,308.6780,179.2000,54.7100
2022-07-18,315.3265,191.7000,54.3800
2022-07-25,291.3921,176.3000,49.0100
2022-08-01,292.1519,183.5000,50.2500
2022-08-08,288.9226,179.1000,48.8000
2022-08-15,299.1802,169.9000,45.7600
2022-08-22,307.9182,181.9000,57.5700
