date,TENCENT,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,MAOTAI,LZLJ
2016-05-02,141.8737,23.1800,50.3900,36.2590,33.6975,119.4900,0.8832,14.3287,252.2200,23.5000
2016-05-09,142.9799,22.6300,51.0800,36.2415,35.4960,119.8100,1.0245,13.8407,250.9600,23.5000
2016-05-16,146.1142,23.8050,50.6200,36.0855,35.1400,117.3500,1.1083,14.6853,251.2600,23.8300
2016-05-23,157.8218,25.0875,52.3200,37.3800,35.6120,119.3800,1.1475,14.8693,252.4400,23.3800
2016-05-30,157.4531,24.4800,51.7900,36.7930,36.2770,118.4700,1.1620,14.5993,283.8900,25.5800
2016-06-06,161.4171,24.7075,51.4800,36.6595,35.8955,116.6200,1.1550,14.5860,274.2800,26.3000
2016-06-13,155.7016,23.8325,50.1300,35.2125,35.3195,113.0200,1.1680,14.3647,278.2600,28.7600
2016-06-20,160.2186,23.3500,49.8300,34.2600,34.9480,112.0800,1.1432,12.8767,273.7700,28.5700
2016-06-27,162.3389,23.9725,51.1600,35.5125,36.2840,114.1900,1.1665,14.4333,286.1700,29.8500
2016-07-04,163.1686,24.1700,52.3000,35.8890,37.2905,117.2400,1.2713,14.4520,309.9100,32.8000
2016-07-11,170.3591,24.6950,53.7000,36.7815,36.7720,116.8600,1.3175,14.6933,317.5200,32.5000
2016-07-18,170.7278,24.6650,56.5700,37.9640,37.2430,121.0000,1.3668,14.8180,307.9200,30.1200
2016-07-25,171.9262,26.0525,56.6800,39.5670,37.9405,123.9400,1.4275,15.6527,313.1500,32.4900
2016-08-01,170.1747,26.8700,57.9600,40.3465,38.2990,125.1500,1.4550,15.3353,305.9300,30.9200
2016-08-08,173.1246,27.0450,57.9400,40.3525,38.6280,124.8800,1.5760,15.0407,316.9700,31.1500
2016-08-15,186.0306,27.3400,57.6200,39.9825,37.8655,123.5600,1.5565,15.0000,306.4800,31.2900
2016-08-22,184.7400,26.7350,58.0300,39.6610,38.4500,124.9600,1.5508,14.6660,301.4500,31.0100
2016-08-29,186.0306,26.9325,57.6700,39.8435,38.6220,126.5100,1.5632,13.1853,305.7800,31.3700
2016-09-05,197.0929,25.7825,56.2100,39.4240,38.0070,127.1000,1.4880,12.9647,304.6300,31.0100
2016-09-12,193.4055,28.7300,57.2500,39.8985,38.9260,129.0700,1.5710,13.6933,299.5700,29.5000
2016-09-19,201.1491,28.1775,57.4300,40.7480,40.2875,127.9600,1.6237,13.8300,297.6800,30.7300
2016-09-26,196.3554,28.2625,57.6000,40.2030,41.8655,128.2700,1.7130,13.6020,297.9100,31.0800
2016-10-03,199.3054,28.5150,57.8000,40.0355,41.9715,128.9900,1.6712,13.1073,297.9100,31.0800
2016-10-10,192.6680,29.4075,57.4200,40.2300,41.1480,127.8800,1.6497,13.1007,305.6000,31.3600
2016-10-17,197.4617,29.1500,59.6600,41.2030,40.9495,132.0700,1.6885,13.3393,304.1900,31.6800
2016-10-24,191.7461,28.4300,59.8700,40.9780,38.8160,131.2900,1.7640,13.3313,317.0500,34.6100
2016-10-31,184.3713,27.2100,58.7100,39.0550,37.7525,120.7500,1.6892,12.7040,314.8200,34.1300
2016-11-07,184.3713,27.1075,59.0200,38.5875,36.9505,119.0200,2.1992,12.5707,315.0800,34.5000
2016-11-14,180.1308,27.5150,60.3500,38.7985,38.0080,117.0200,2.3340,12.3347,310.0000,33.2900
2016-11-21,177.9183,27.9475,60.5300,39.0115,39.0185,120.3800,2.3540,13.1100,316.8900,33.6500
2016-11-28,176.0746,27.4750,59.2500,38.2230,37.0170,115.4000,2.2113,12.0980,321.7700,33.6000
2016-12-05,173.4934,28.4875,61.9700,40.4725,38.4330,119.6800,2.2955,12.8120,337.8300,34.3200
2016-12-12,169.5294,28.9925,62.3000,40.4920,37.8885,119.8700,2.5103,13.4993,327.5800,32.9800
2016-12-19,165.6576,29.1300,63.2400,40.3900,38.0295,117.2700,2.7445,14.2227,320.0300,32.3900
2016-12-26,174.8762,28.9550,62.1400,39.6225,37.4935,115.0500,2.6685,14.2460,334.1500,33.0000
2017-01-02,179.8542,29.4775,62.8400,41.2605,39.7995,123.4100,2.5775,15.2673,350.7600,34.4300
2017-01-09,184.0947,29.7600,62.7000,41.5470,40.8570,128.3400,2.5858,15.8500,344.8700,33.1000
2017-01-16,182.2510,30.0000,62.7400,41.4085,40.4165,127.0400,2.6003,16.3153,354.9900,34.0800
2017-01-23,188.4275,30.4875,65.7800,42.2515,41.7885,132.1800,2.7943,16.8633,344.4200,33.6900
