code,name,rev23,rev24,rev25,rev_q1,np23,np24,np25,np_q1,debt_ratio
600438,通威股份,139104062084.52,91994404333.54,84128281703.14,12125079698.56,13573900132.37,-7038757392.54,-9553425884.06,-2444414900.75,74.2%
601012,隆基绿能,129497674192.2,82582273118.72,70347049950.42,11191552278.54,10751425556.38,-8592102400.42,-6419556843.85,-1919902418.4,66.1%
002459,晶澳科技,81556177236.98,70120697029.73,49128712950.94,9215810744.64,7039490537.23,-4655943814.17,-4608260132.26,-1066837575.29,79.1%
002129,TCL中环,59146463192.95,28418504235.63,29050247640.35,6549096744,3416058966.07,-9818364927.98,-9263788838.65,-1646700383.44,68.2%
600089,特变电工,98206439552.02,97906313945.33,97318077030.24,24961284684.65,10702710662.39,4143924869.81,5954294958.25,1814529514.69,56.6%
002460,赣锋锂业,32971680169.96,18906402940.11,23081732746.32,9196158318.22,4946809503.79,-2074013392.07,1612980993.34,1837274971.24,55.3%
002466,天齐锂业,40503462071.46,13063477016.39,10346364563.27,5128047632.11,7297314973.99,-7904580295.37,462625452.36,1876028010.28,28.4%
000792,盐湖股份,21578504361.18,15134119500.89,15501243782.06,6431955107.5,7913614646.24,4663116528.38,8475535262.69,3026668895.57,15.8%
002756,永兴材料,12189008783.35,8073834330.1,7423096395.83,2429211075.62,3406771930.76,1043469605.89,661462878.37,489045952.43,11.5%
002738,中矿资源,6013324070.79,5363854702.53,6545193874.42,1375978457.48,2208162354.73,756974637.04,457639791.04,507688628.36,30.0%
